id,dataset_id,user_id,data_source,brand,advertiser,advertiser_id,agency,entity,funding_entity,data_currency,language,country,stream,node_name,node_id,campaign_name,campaign_id,campaign_objective,business_classification_1,business_classification_2,product,media_level_1,media_level_2,mediapartner_saleshouse,platform_or_publisher,buying_mode,buying_type,start_date,end_date,date,week,targeting_type,procurement_centralization,media_target,creative_type,creative_format,creative_label,creative_id,creative_duration,location,positioning,daypart,digital_radio_or_podcast,periodicity,press_type,magazine_or_newspaper,national_or_local,campaign_platform,adgroup_name,adgroup_id,brand_non_brand,line_item,line_item_id,insertion_order,insertion_order_id,placement,placement_id,adset_name,adset_id,ad_serving,ad_verification
535,nm_1_1743612956,1,searchads,es-axa,"AXA Vida",5686291588,omd,"""'(-è_çà",ghhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,eur,es,es,performance,AXA_VIDA_PMAX_PROS_5002_Agentes,21257045402,AXA_VIDA_PMAX_PROS_5002_Agentes,21257045402,conversion,life-savings,personal-life,life,paid-search,paid-search,programmatic,google,,cpc,,,2024-10-11,41,specific,local,prospecting,performance-max,,,,,,cgv,xvb,,monthly,,,national,AXA_VIDA_PMAX_PROS_5002_Agentes,,,non-brand,,,,,,,,,yes,no
536,nm_1_1743612956,1,searchads,es-axa,"AXA Vida",5686291588,omd,axa-es-aurora,axa-es-aurora,eur,es,es,performance,AXA_Vida_SEM_BRA_VAR_PROS_5000_Agentes,14851822773,AXA_Vida_SEM_BRA_VAR_PROS_5000_Agentes,14851822773,conversion,life-savings,personal-life,life,paid-search,paid-search,google,google,,cpc,,,2024-08-09,32,specific,local,prospecting,performance-max,,,,,,,,,,,,national,AXA_Vida_SEM_BRA_VAR_PROS_5000_Agentes,,,brand,,,,,,,,,yes,no
537,nm_1_1743612956,1,searchads,es-axa,"AXA Vida",5686291588,omd,axa-es-aurora,axa-es-aurora,eur,es,es,performance,AXA_Vida_SEM_BRA_VAR_PROS_5000_Agentes,14851822773,AXA_Vida_SEM_BRA_VAR_PROS_5000_Agentes,14851822773,conversion,life-savings,personal-life,life,paid-search,paid-search,google,google,,cpc,,,2024-10-09,41,specific,local,prospecting,performance-max,,,,,,,,,,,,national,AXA_Vida_SEM_BRA_VAR_PROS_5000_Agentes,,,brand,,,,,,,,,yes,no
538,nm_1_1743612956,1,searchads,es-axa,"AXA Vida",5686291588,omd,axa-es-aurora,axa-es-aurora,eur,es,es,performance,AXA_Vida_SEM_BRA_VAR_PROS_5000_Agentes,14851822773,AXA_Vida_SEM_BRA_VAR_PROS_5000_Agentes,14851822773,conversion,life-savings,personal-life,life,paid-search,paid-search,google,google,,cpc,,,2024-11-25,48,specific,local,prospecting,performance-max,,,,,,,,,,,,national,AXA_Vida_SEM_BRA_VAR_PROS_5000_Agentes,,,brand,,,,,,,,,yes,no
539,nm_1_1743612956,1,searchads,es-axa,"AXA Vida",5686291588,omd,axa-es-aurora,axa-es-aurora,eur,es,es,performance,AXA_Vida_SEM_GNC_VAR_PROS_5001_Agentes,1432834763,AXA_Vida_SEM_GNC_VAR_PROS_5001_Agentes,1432834763,conversion,life-savings,personal-life,life,paid-search,paid-search,google,google,,cpc,,,2024-12-16,51,specific,local,prospecting,performance-max,,,,,,,,,,,,national,AXA_Vida_SEM_GNC_VAR_PROS_5001_Agentes,,,non-brand,,,,,,,,,yes,no
540,nm_1_1743612956,1,searchads,es-axa,"AXA Vida",5686291588,omd,axa-es-aurora,axa-es-aurora,eur,es,es,performance,AXA_Vida_SEM_GNC_VAR_PROS_5001_Agentes,1432834763,AXA_Vida_SEM_GNC_VAR_PROS_5001_Agentes,1432834763,conversion,life-savings,personal-life,life,paid-search,paid-search,google,google,,cpc,,,2024-09-26,39,specific,local,prospecting,performance-max,,,,,,,,,,,,national,AXA_Vida_SEM_GNC_VAR_PROS_5001_Agentes,,,non-brand,,,,,,,,,yes,no
541,nm_1_1743612956,1,cm360,es-axa,ES_omd_native_perf,10656625,omd,axa-es-aurora,test,eur,es,es,performance,1211_3112_axa-vida_agentes_native,32730883,1211_3112_axa-vida_agentes_native,asset-management,traffic,life-savings,personal-life,life,online-display,native,addoor,addoor,,cpl,,,2024-12-16,51,interest,local,prospect,native-content,1x1,1x1,226014693,,,,,,,,,national,1211_3112_axa-vida_agentes_native,,,,,,,,Addoor_display_cpl_1x1_native_cpl_CON_multidevice_1211_axagentesvida_landing_,408760905,,,yes,no
542,nm_1_1743612956,1,searchads,es-axa,"AXA Vida",5686291588,omd,"""'(-è_çà",ghhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,eur,es,es,performance,AXA_VIDA_PMAX_PROS_5002_Agentes,21257045402,AXA_VIDA_PMAX_PROS_5002_Agentes,21257045402,conversion,life-savings,personal-life,life,paid-search,paid-search,programmatic,google,,cpc,,,2024-10-11,41,specific,local,prospecting,performance-max,,,,,,cgv,xvb,,monthly,,,national,AXA_VIDA_PMAX_PROS_5002_Agentes,,,non-brand,,,,,,,,,yes,no
543,nm_1_1743612956,1,searchads,es-axa,"AXA Vida",5686291588,omd,"""'(-è_çà",ghhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,eur,es,es,performance,AXA_VIDA_PMAX_PROS_5002_Agentes,21257045402,AXA_VIDA_PMAX_PROS_5002_Agentes,21257045402,conversion,life-savings,personal-life,life,paid-search,paid-search,programmatic,google,,cpc,,,2024-10-11,41,specific,local,prospecting,performance-max,,,,,,cgv,xvb,,monthly,,,national,AXA_VIDA_PMAX_PROS_5002_Agentes,,,non-brand,,,,,,,,,yes,no
544,nm_1_1743612956,1,searchads,es-axa,"AXA Vida",5686291588,omd,"""'(-è_çà",ghhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,eur,es,es,performance,AXA_VIDA_PMAX_PROS_5002_Agentes,21257045402,AXA_VIDA_PMAX_PROS_5002_Agentes,21257045402,conversion,life-savings,personal-life,life,paid-search,paid-search,programmatic,google,,cpc,,,2024-10-11,41,specific,local,prospecting,performance-max,,,,,,cgv,xvb,,monthly,,,national,AXA_VIDA_PMAX_PROS_5002_Agentes,,,non-brand,,,,,,,,,yes,no
545,nm_1_1743612956,1,searchads,es-axa,"AXA Vida",5686291588,omd,"""'(-è_çà",ghhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,eur,es,es,performance,AXA_VIDA_PMAX_PROS_5002_Agentes,21257045402,AXA_VIDA_PMAX_PROS_5002_Agentes,21257045402,conversion,life-savings,personal-life,life,paid-search,paid-search,programmatic,google,,cpc,,,2024-10-11,41,specific,local,prospecting,performance-max,,,,,,cgv,xvb,,monthly,,,national,AXA_VIDA_PMAX_PROS_5002_Agentes,,,non-brand,,,,,,,,,yes,no
