dataSource,agency,country,entity,field,targetField,startDate,endDate,rulesOrder,matchType,condition,results
googleads,OMD,ES,ESAXA,campaign_name,media_target,,,11,regexp-contains,"""_pros_""","""prospecting"""
bingads,OMD,ES,ESAXA,campaign_name,media_target,,,1,regexp-contains,"""_pros_""","""prospecting"""
googleads,OMD,ES,ESAXA,campaign_name,media_target,,,12,regexp-contains,"""prospecting""","""prospecting"""
bingads,OMD,ES,ESAXA,campaign_name,media_target,,,2,regexp-contains,"""prospecting""","""prospecting"""
facebookads,OMD,ES,ESAXA,campaign_name,media_target,,,21,regexp-contains,"""_pros_""","""prospecting"""
facebookads,OMD,ES,ESAXA,campaign_name,media_target,,,22,regexp-contains,"""prospecting""","""prospecting"""
bingads,OMD,ES,ESAXA,campaign_name,media_target,,,5,regexp-contains,"""rtg""","""retargeting"""
bingads,OMD,ES,ESAXA,campaign_name,media_target,,,3,regexp-contains,"""_ret_""","""retargeting"""
googleads,OMD,ES,ESAXA,campaign_name,media_target,,,13,regexp-contains,"""_ret_""","""retargeting"""
googleads,OMD,ES,ESAXA,campaign_name,media_target,,,15,regexp-contains,"""rtg""","""retargeting"""
facebookads,OMD,ES,ESAXA,campaign_name,media_target,,,23,regexp-contains,"""_ret_""","""retargeting"""
bingads,OMD,ES,ESAXA,campaign_name,media_target,,,4,regexp-contains,"""retargeting""","""retargeting"""
facebookads,OMD,ES,ESAXA,campaign_name,media_target,,,25,regexp-contains,"""rtg""","""retargeting"""
facebookads,OMD,ES,ESAXA,campaign_name,media_target,,,24,regexp-contains,"""retargeting""","""retargeting"""
googleads,OMD,ES,ESAXA,campaign_name,media_target,,,14,regexp-contains,"""retargeting""","""retargeting"""
facebookads,OMD,ES,ESAXA,campaign_name,product,,,61,regexp-contains,"""autonomos""","""self-employed insurance"""
bingads,OMD,ES,ESAXA,campaign_name,product,,,51,regexp-contains,"""autonomos""","""self-employed insurance"""
googleads,OMD,ES,ESAXA,campaign_name,product,,,31,regexp-contains,"""autonomos""","""self-employed insurance"""
facebookads,OMD,ES,ESAXA,campaign_name,campaign_objective,,,1,regexp-extract,,"""traffic"""
googleads,OMD,ES,ESAXA,date,week,,,9,default,,EXTRACT(WEEK FROM date)
cm360,OMD,ES,ESAXA,date,week,,,4,default,,EXTRACT(WEEK FROM date)
facebookads,OMD,ES,ESAXA,date,week,,,10,default,,EXTRACT(WEEK FROM date)
bingads,OMD,ES,ESAXA,date,week,,,6,default,,EXTRACT(WEEK FROM date)
outbrain,Jakala,ES,ESALL,date,week,,,3,default,,EXTRACT(WEEK FROM date)
cm360,Jakala,ES,ESALL,date,week,,,13,default,,EXTRACT(WEEK FROM date)
cm360,Jakala,ES,ESALL,mediapartner_saleshouse,mediapartner_saleshouse,,,7,default,,"REPLACE(SPLIT(mediapartner_saleshouse, '_')[SAFE_OFFSET(2)], "" "", """")"
cm360,Jakala,ES,ESALL,placement,creative_format,,,1,regexp-extract,,"""([0-9]+x[0-9]+)"""
cm360,Jakala,ES,ESALL,placement,product,,,81,regexp-contains,"""auto_""","""auto"""
cm360,OMD,ES,ESAXA,placement,product,,,2,regexp-contains,"""auto_""","""auto"""
cm360,OMD,ES,ESAXA,placement,product,,,8,regexp-contains,"""bici""","""bike"""
cm360,OMD,ES,ESAXA,placement,buying_type,,,7,regexp-extract,,"""cpc"""
cm360,Jakala,ES,ESALL,placement,buying_type,,,12,regexp-extract,,"""cpc"""
cm360,Jakala,ES,ESALL,placement,buying_type,,,14,regexp-extract,,"""cpl"""
cm360,OMD,ES,ESAXA,placement,buying_type,,,9,regexp-extract,,"""cpl"""
cm360,OMD,ES,ESAXA,placement,buying_type,,,8,regexp-extract,,"""cpm"""
cm360,Jakala,ES,ESALL,placement,buying_type,,,13,regexp-extract,,"""cpm"""
cm360,Jakala,ES,ESALL,placement,buying_type,,,15,regexp-extract,,"""cpv"""
cm360,OMD,ES,ESAXA,placement,buying_type,,,10,regexp-extract,,"""cpv"""
cm360,OMD,ES,ESAXA,placement,product,,,10,regexp-extract,,"""dental"""
cm360,OMD,ES,ESAXA,placement,product,,,9,regexp-contains,"""pesca""","""fishing"""
cm360,Jakala,ES,ESALL,placement,product,,,82,regexp-extract,,"""health"""
cm360,OMD,ES,ESAXA,placement,product,,,4,regexp-contains,"""salud""","""health"""
cm360,Jakala,ES,ESALL,placement,business_classification_1,,,3,regexp-contains,"""salud""","""health"""
cm360,Jakala,ES,ESALL,placement,business_classification_1,,,2,regexp-contains,"""health""","""health"""
cm360,OMD,ES,ESAXA,placement,product,,,6,regexp-contains,"""hogar""","""home"""
cm360,OMD,ES,ESAXA,placement,product,,,7,regexp-contains,"""caza""","""hunting"""
cm360,OMD,ES,ESAXA,placement,product,,,3,regexp-contains,"""vida""","""life"""
cm360,Jakala,ES,ESALL,placement,business_classification_2,,,12,regexp-contains,"""moto""","""motor"""
cm360,Jakala,ES,ESALL,placement,business_classification_2,,,9,regexp-contains,"""auto_""","""motor"""
cm360,OMD,ES,ESAXA,placement,product,,,5,regexp-contains,"""moto""","""motorbike"""
cm360,Jakala,ES,ESALL,placement,product,,,83,regexp-contains,"""moto""","""motorbike"""
cm360,Jakala,ES,ESALL,placement,creative_type,,,2,regexp-contains,"""_1x1_""","""native-content"""
cm360,Jakala,ES,ESALL,placement,creative_type,,,1,regexp-contains,"""native""","""native-content"""
cm360,Jakala,ES,ESALL,placement,business_classification_1,,,1,regexp-contains,"""auto_""","""pc-personal-lines"""
cm360,Jakala,ES,ESALL,placement,business_classification_1,,,4,regexp-contains,"""moto""","""pc-personal-lines"""
cm360,Jakala,ES,ESALL,placement,business_classification_2,,,11,regexp-contains,"""salud""","""personal-health"""
cm360,Jakala,ES,ESALL,placement,business_classification_2,,,10,regexp-contains,"""health""","""personal-health"""
cm360,OMD,ES,ESAXA,placement,media_target,,,37,regexp-contains,"""prospecting""","""prospecting"""
cm360,OMD,ES,ESAXA,placement,media_target,,,36,regexp-contains,"""_pros_""","""prospecting"""
cm360,OMD,ES,ESAXA,placement,media_target,,,39,regexp-contains,"""rtg""","""retargeting"""
cm360,OMD,ES,ESAXA,placement,media_target,,,38,regexp-contains,"""_ret_""","""retargeting"""
cm360,OMD,ES,ESAXA,placement,media_target,,,40,regexp-contains,"""retargeting""","""retargeting"""
cm360,OMD,ES,ESAXA,placement,product,,,1,regexp-contains,"""autonomos""","""self-employed insurance"""
cm360,Jakala,ES,ESALL,placement,creative_type,,,3,regexp-contains,"""banner""","""static-visual"""
